cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
AIBL Id,Participant ID.,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.5317161784662673,True
Collection,Collection 18 month timepoint.,Huntington's Disease Cognitive Assessment Battery (HD-CAB) Trail Making Test-B key variable for composite score: Time to completion (sec) of TMT Part B with upper time limit of 240 seconds (reverse scored).,Trail Making Test (TMT) B,0.33093815977714225,False
CSF.Ab42_INNX_MELB,Ab1-42 CSF measurement using INNOTEST kit. Melbourne QXL.,The determination of the amount of the 1-42 amino acid beta amyloid protein isoform present in a sample.,A-beta 1-42 in Plasma,0.6071954259621705,False
CSF.Tau_INNX_MELB,Total Tau CSF measurement using INNOTEST kit. Melbourne QXL.,"Is a quantification of total tau protein, a biomarker for Alzheimer's disease.",tTau in CSF,0.6476104593964603,True
Demographic.Sex,Participant gender.,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.35305942117046213,False
Demographic.YearMonthOfBirth,Participant year and month of birth (YYYYMM).,The month in which a person was born.,Month of Birth,0.5097027447313476,True
Demographic.Present Living Arrangements,Present Living Arrangements,A description of a personal residence and the relationship between the occupants that reside there.,Living Arrangement,0.52903937923211,False
Demographic.Handedness,Handedness,The preferred hand of use for controlled and efficient performance of motor tasks.,Handedness,0.577776465099933,True
Demographic.Years of Education Exact,Exact Years of Education,The number of education years that a subject has competed.,Education,0.6254416918971566,True
Demographic.AD/MCI/H/O at presentation,Classification at Presentation,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Abrupt onset (re: cognitive status).,MHIS-NACC - Abrupt Onset,0.39647136219621265,False
Demographic.GDS,Total Score,Functional Activities Questionnaire (FAQ) Total Score.,Functional Activities Questionnaire (FAQ),0.5306703058707521,False
Demographic.ApoE genotype,ApoE Genotype,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE Allele 2,0.6542853730194971,False
Demographic.Ever been diagnosed with Schizophrenia or Schizoaffective Disorder,Schizophrenia Diagnosis,"A major psychotic disorder characterized by abnormalities in the perception or expression of reality. It affects the cognitive and psychomotor functions. Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.",Schizophrenia,0.45501052385081037,True
Demographic.Ever been diagnosed with Bipolar Disorder,Bipolar Diagnosis,"A disorder of the brain that causes unusual shifts in mood, energy, activity levels and the ability to carry out day-to-day tasks. Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.",Bipolar,0.42428478063415875,True
